Container	        CPU-usage(%)	Memory-usage(bytes)
rfsim5g-oai-du	0.0053591328960103	19005440.0
rfsim5g-oai-du	0.0054005460157006	19021824.0
rfsim5g-oai-du	0.0056173088289063	19034112.0
rfsim5g-oai-du	0.0058000489084847	19050496.0
rfsim5g-oai-du	0.0048583868056325	19062784.0
rfsim5g-oai-du	0.005094267102783	19079168.0
rfsim5g-oai-du	0.0062012848652843	19091456.0
rfsim5g-oai-du	0.0050918486306686	19107840.0
rfsim5g-oai-du	0.0053017679311728	19120128.0
rfsim5g-oai-du	0.0049800472295279	19136512.0
rfsim5g-oai-du	0.0052145010698524	19148800.0
rfsim5g-oai-du	0.0042736816074532	19169280.0
rfsim5g-oai-du	0.0050026317424643	19181568.0
rfsim5g-oai-du	0.0050300611008284	19197952.0
rfsim5g-oai-du	0.0056263246738939	19210240.0
rfsim5g-oai-du	0.0059989828133262	19226624.0
rfsim5g-oai-du	0.0063067264219496	19238912.0
rfsim5g-oai-du	0.0055342239226653	19255296.0
rfsim5g-oai-du	0.0056832994737189	19267584.0
rfsim5g-oai-du	0.0044682728734062	19283968.0
rfsim5g-oai-du	0.0055695958875551	19296256.0
rfsim5g-oai-du	0.0044239584147117	19312640.0
rfsim5g-oai-du	0.0047464142728609	19324928.0
rfsim5g-oai-du	0.0068453353595646	19341312.0
rfsim5g-oai-du	0.0047333890019445	19357696.0
rfsim5g-oai-du	0.0034484126079681	19369984.0
rfsim5g-oai-du	0.0041166513815402	19386368.0
rfsim5g-oai-du	0.0052492901234567	19398656.0
rfsim5g-oai-du	0.0056423641506951	19410944.0
